StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q260,Q261,Gender,Age,Q1_1,N1_1,Q2_1,N2_1,Q3_1,N3_1,Q4_1,N4_1,Q5_1,N5_1,Q6_1,N6_1,Q7_1,N7_1,Q8_1,N8_1,Q9_1,N9_1,Q10_1,N10_1,Q11_1,N11_1,Q12_1,N12_1,Q13_1,N13_1,Q14_1,N14_1,Q15_1,N15_1,Q16_1,N16_1,Q17_1,N17_1,Q18_1,N18_1,Q19_1,N19_1,Q20_1,N20_1,Q21_1,N21_1,Q22_1,N22_1,Q23_1,N23_1,Q24_1,N24_1,Q25_1,N25_1,Q26_1,N26_1,Q27_1,N27_1,Q28_1,N28_1,Q29_1,N29_1,Q30_1,N30_1,Q31_1,N31_1,Q32_1,N32_1,Q33_1,N33_1,Q34_1,N34_1,Q35_1,N35_1,Q36_1,N36_1,Q37_1,N37_1,Q38_1,N38_1,Q39_1,N39_1,Q40_1,N40_1,Q41_1,N41_1,Q42_1,N42_1,Q43_1,N43_1,Q44_1,N44_1,Q45_1,N45_1,Q46_1,N46_1,Q47_1,N47_1,Q48_1,N48_1,Q49_1,N49_1,Q50_1,N50_1,Q51_1,N51_1,Q52_1,N52_1,Q53_1,N53_1,Q54_1,N54_1,Q55_1,N55_1,Q56_1,N56_1,Q57_1,N57_1,Q58_1,N58_1,Q59_1,N59_1,Q60_1,N60_1,id
2023-04-28 16:18:57,2023-04-28 16:26:46,0,109.175.195.77,100,468,1,2023-04-28 16:26:47,R_3rTk6H9apG4yko0,,,,,50.745,-1.8524,anonymous,EN,1,"1,2","female ",19,6,5,9,10,10,9,7,9,9,10,8,9,7,9,7,8,6,7,5,5,6,7,5,4,9,9,7,6,6,6,5,6,7,7,6,6,9,9,7,7,7,9,6,7,6,6,6,5,9,9,6,6,4,5,6,6,6,6,6,6,5,6,4,4,8,8,8,9,4,4,6,6,7,7,6,6,6,6,8,8,5,5,5,5,6,6,6,6,3,3,4,3,7,7,5,5,4,4,6,5,8,8,6,6,8,8,6,6,6,6,3,3,7,7,6,6,9,9,7,7,19360
2023-04-28 16:43:48,2023-04-28 16:51:44,0,86.14.249.249,100,476,1,2023-04-28 16:51:45,R_3hndAxsZhZzUhMC,,,,,50.7519,-1.8706,anonymous,EN,1,1,female,20,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,18678
2023-04-28 17:33:23,2023-04-28 17:38:20,0,51.187.253.186,100,297,1,2023-04-28 17:38:21,R_1LtXrztEqhgyT3U,,,,,51.5638,-0.0765,anonymous,EN,1,1,female,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,7,10,8,7,9,9,7,7,7,8,8,7,8,10,5,6,6,5,8,7,9,8,9,6,10,10,7,9,7,7,6,8,8,8,6,7,7,10,10,10,10,8,6,8,8,7,8,9,10,10,8,9,7,9,7,10,8,9,7,9,7,8,8,7,8,9,6,6,5,6,6,7,6,8,19493
2023-04-28 17:11:06,2023-04-28 17:46:13,0,109.175.195.73,100,2106,1,2023-04-28 17:46:14,R_3MSa5hmsK0txgfu,,,,,50.745,-1.8524,anonymous,EN,1,"1,2",male,19,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,8,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,8,10,9,10,7,9,5,10,10,10,10,10,10,10,9,10,7,10,9,10,10,10,8,8,5,10,10,10,10,10,9,10,7,10,9,5,3,10,6,10,10,10,7,10,10,10,10,10,9,10,9,10,8,10,8,10,10,10,9,10,9,10,7,8,6,10,8,10,10,9,6,10,9,10,6,10,10,9,7,10,10,19391
2023-04-28 18:04:05,2023-04-28 18:12:16,0,86.20.122.57,100,491,1,2023-04-28 18:12:17,R_2PmJYuXxmQ5JEA4,,,,,50.7654,-1.9063,anonymous,EN,1,1,Female,19,8,5,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,9,9,8,10,9,8,7,10,10,10,9,10,10,10,9,10,10,10,9,10,10,10,10,10,9,10,10,10,9,10,10,10,9,9,9,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,9,8,10,9,9,9,9,9,9,8,10,10,10,9,10,10,8,8,8,8,7,7,8,8,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,8,7,9,8,8,7,10,10,10,10,18796
2023-04-28 21:12:07,2023-04-28 21:42:26,0,46.69.180.128,100,1819,1,2023-04-28 21:42:27,R_323gu6Ob3HXN2cm,,,,,50.9212,-1.5586,anonymous,EN,1,"1,2",female,18,3,2,8,7,4,4,7,7,10,9,9,9,7,6,7,7,7,7,6,3,6,3,8,6,6,5,5,4,8,6,3,5,6,5,9,8,9,9,8,8,6,3,5,3,5,3,9,5,8,6,7,3,9,7,9,8,7,4,6,4,6,5,5,4,8,3,9,8,6,5,4,4,8,6,8,5,6,5,5,5,5,4,4,8,5,3,6,4,3,1,3,3,7,7,9,3,7,6,5,7,3,3,7,3,6,4,6,3,10,9,9,9,7,5,6,6,8,6,8,6,19394
2023-04-28 22:12:01,2023-04-28 22:20:18,0,51.14.144.235,100,496,1,2023-04-28 22:20:18,R_11gAYHFF1aK09ys,,,,,50.4163,-5.0768,anonymous,EN,1,"1,2",Non binary,20,9,7,10,8,10,10,10,10,9,9,10,8,10,8,10,10,10,10,10,9,9,8,9,8,10,10,10,10,10,10,10,10,9,8,10,10,10,10,9,8,8,8,9,8,8,8,10,10,10,10,9,9,10,10,9,10,9,9,10,10,9,9,9,9,10,10,9,9,7,7,8,8,7,7,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,10,9,9,8,7,10,10,10,8,9,7,19521
2023-04-29 11:27:25,2023-04-29 11:41:27,0,86.27.142.114,100,841,1,2023-04-29 11:41:27,R_1IaMB35fCEzOuqt,,,,,50.7177,-2.0008,anonymous,EN,1,1,female,23,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,9,9,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18824
2023-04-29 11:12:21,2023-04-29 11:42:37,0,86.31.115.21,100,1816,1,2023-04-29 11:42:38,R_3PnwEGxJVLSo0UD,,,,,50.7469,-1.7544,anonymous,EN,1,"1,2",female,19,6,4,6,4,10,10,6,4,6,5,10,10,9,8,7,5,4,4,5,5,6,6,5,4,8,8,9,9,9,9,8,8,6,6,6,6,8,8,7,6,5,5,5,5,6,5,7,7,5,4,6,5,5,4,6,5,6,6,6,6,5,5,4,3,5,5,7,7,5,4,5,4,4,3,5,5,5,5,7,7,5,5,4,3,6,5,6,4,4,4,5,4,6,6,6,6,6,5,9,9,8,8,6,6,7,7,6,5,6,4,5,4,3,1,5,5,10,10,7,6,18577
2023-04-30 10:26:14,2023-04-30 10:38:11,0,82.6.221.215,100,716,1,2023-04-30 10:38:12,R_w4VHOk1R1mEdMDT,,,,,50.7241,-1.7891,anonymous,EN,1,"1,2",female,20,6,5,5,4,8,7,7,6,9,8,8,7,10,9,10,9,10,9,9,6,8,5,8,6,8,6,8,6,8,7,8,6,8,6,9,8,9,8,10,10,9,6,8,4,8,5,9,9,10,10,9,6,10,6,10,9,8,5,7,5,8,6,7,5,9,7,10,9,8,6,7,5,9,5,7,5,6,4,9,7,8,6,9,8,7,4,8,5,6,4,7,4,8,6,9,6,8,4,8,5,7,5,8,6,9,7,8,8,10,9,7,4,6,4,6,3,10,9,7,6,18596
2023-05-01 19:02:07,2023-05-01 19:16:51,0,185.201.60.254,100,883,1,2023-05-01 19:16:52,R_2wLZhriEmaCas5o,,,,,51.4964,-0.1224,anonymous,EN,1,1,"Female ",20,9,7,6,4,9,8,9,8,10,9,10,9,9,8,9,9,9,9,9,6,10,10,8,6,10,8,10,10,10,10,9,8,9,8,10,9,10,10,9,8,7,7,9,8,9,8,8,7,10,9,6,4,3,3,8,8,9,7,8,7,7,6,6,4,8,7,10,10,5,5,8,7,9,8,10,10,8,2,9,7,9,4,9,8,8,7,9,8,6,5,6,5,9,8,10,10,8,8,10,9,10,10,9,7,9,8,10,10,10,10,9,9,8,6,7,6,10,10,9,7,18801
2023-05-02 09:32:14,2023-05-02 09:52:20,0,194.80.64.241,100,1206,1,2023-05-02 09:52:22,R_22K45GBUnoE7gyT,,,,,50.745,-1.8524,anonymous,EN,1,"1,2",Female,38,8,9,7,6,8,9,9,8,8,8,9,8,8,7,7,8,8,7,9,8,5,8,8,8,9,8,7,8,8,8,7,6,8,7,8,8,9,8,9,8,8,7,6,6,7,7,7,6,8,7,6,6,8,8,7,7,8,8,7,7,7,7,6,5,8,7,8,8,5,4,7,7,7,7,5,5,8,8,7,7,8,8,8,8,6,5,7,6,7,6,8,7,8,8,8,8,8,7,8,7,7,7,8,8,6,5,7,7,7,6,7,7,8,8,7,7,8,8,7,6,19547
2023-05-04 10:56:17,2023-05-04 11:02:38,0,82.21.156.70,100,381,1,2023-05-04 11:02:40,R_1K9ExUvgLQ6nxit,,,,,50.7177,-2.0008,anonymous,EN,1,1,Female,20,10,10,10,7,7,7,8,8,7,9,9,9,10,9,9,9,10,9,9,9,6,5,6,5,8,9,8,9,9,7,8,8,9,10,10,10,9,9,8,9,8,6,7,7,6,7,9,7,8,6,9,8,8,7,9,6,9,7,7,7,7,6,9,7,9,7,8,8,8,7,8,7,8,9,10,9,8,9,7,9,9,7,10,10,7,8,7,8,6,5,7,7,8,9,10,10,7,6,8,7,10,9,10,8,8,7,8,8,9,8,7,8,9,9,6,5,10,7,8,8,19212
2023-04-29 19:52:51,2023-05-04 21:37:26,0,31.205.115.64,100,438274,1,2023-05-04 21:37:26,R_aeOBxj5N4qQKrVT,,,,,50.745,-1.8524,anonymous,EN,1,1,Female,18,9,9,9,8,10,10,9,9,10,10,9,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,10,10,9,9,8,10,10,10,9,10,10,10,10,10,9,9,10,9,10,9,9,10,9,9,10,10,9,9,9,10,10,10,9,10,9,7,9,10,9,10,10,8,9,9,10,9,10,9,10,9,10,10,10,9,10,10,9,10,9,9,10,7,8,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,19481
2023-05-05 00:02:35,2023-05-05 00:13:45,0,31.205.198.201,100,669,1,2023-05-05 00:13:46,R_3KpQLUFdAxIqVOF,,,,,50.7153,-1.8719,anonymous,EN,1,"1,2",Female,21,10,10,10,9,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,6,10,8,10,10,10,10,10,10,10,9,10,10,10,8,10,9,10,6,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,5,10,9,10,9,10,10,10,9,10,10,18625
