"","task","cond","sub","fix_dur_M","fix_dur_SD"
"141","reading",3,33,254,81.7204445453031
"142","reading",3,34,195,63.9595083738576
"143","reading",3,35,202,75.7416390109762
"144","reading",3,36,228,64.7871394964667
"145","reading",3,37,222,81.8657886440996
"146","reading",3,38,208,67.6270323041043
"147","reading",3,39,191,66.0833567077873
"148","reading",3,40,269,127.084532393164
"149","reading",3,41,178,52.2526582389862
"150","reading",3,42,225,87.8147249102751
"151","reading",3,43,251,112.616501136445
"152","reading",3,44,223,78.6274645914958
"153","reading",3,45,196,62.9050808709945
"154","reading",3,46,254,95.6191337860703
"155","reading",3,47,240,90.3660138597767
"156","reading",3,48,204,49.4842842394875
"157","reading",3,49,252,94.17029810977
"158","reading",3,50,185,54.78447617048
"159","reading",3,51,267,107.114809415454
"160","reading",3,52,191,64.0631944947927
"161","reading",3,53,244,87.8378142692479
"162","reading",3,54,230,88.4166964013927
"163","zString",1,1,208,59.2178221535909
"164","zString",1,2,308,115.402799173638
"165","zString",1,3,241,71.713021613708
"166","zString",1,4,215,74.2729146316315
"167","zString",1,5,269,101.920510126279
"168","zString",1,6,205,67.5245322457458
"169","zString",1,7,250,71.0525691471996
"170","zString",1,8,234,91.1753055405425
"171","zString",1,9,224,80.3752382244127
"172","zString",1,10,207,61.9118898764209
"173","zString",1,11,211,65.9840489183068
"174","zString",1,12,222,76.618519861352
"175","zString",1,13,235,74.8172233875522
"176","zString",1,14,243,96.0940477759015
"177","zString",1,15,208,71.3162131377112
"178","zString",1,16,209,51.4486770316135
"179","zString",1,17,242,67.995032993619
"180","zString",1,18,231,82.6419516540938
"181","zString",1,19,169,43.9485339936166
"182","zString",1,20,189,46.6619310850777
"183","zString",1,21,216,53.1425240004919
"184","zString",1,22,238,76.9986406834876
"185","zString",1,23,242,71.9354842097374
"186","zString",1,24,248,64.8106881532672
"187","zString",1,25,213,99.8319453627149
"188","zString",1,26,311,143.302964485597
"189","zString",1,27,222,87.657730518971
"190","zString",1,28,284,78.206397899265
"191","zString",1,29,267,97.6532306927768
"192","zString",1,30,211,63.3627088765588
"193","zString",1,31,234,74.0259850883331
"194","zString",1,32,237,79.1154267024469
"195","zString",1,33,271,120.294745162134
"196","zString",1,34,201,54.7872515772278
"197","zString",1,35,189,60.6177223832014
"198","zString",1,36,308,102.191732355899
"199","zString",1,37,234,77.0055210156007
"200","zString",1,38,217,77.39241376272
"201","zString",1,39,213,74.6530494611442
"202","zString",1,40,222,62.9483180951737
"203","zString",1,41,193,55.2051083316596
"204","zString",1,42,241,104.792754558718
"205","zString",1,43,246,99.29410946777
"206","zString",1,44,205,64.8136749164267
"207","zString",1,45,225,112.265059754666
"208","zString",1,46,263,96.2316562308924
"209","zString",1,47,220,60.4874529628909
"210","zString",1,48,230,68.8002921074192
"211","zString",1,49,227,68.5983293399934
"212","zString",1,50,215,81.5826197755206
"213","zString",1,51,267,122.423695610298
"214","zString",1,52,188,60.2284824187801
"215","zString",1,53,235,56.1001587952715
"216","zString",1,54,214,66.9731631583557
"217","zString",2,1,224,74.8472686445639
"218","zString",2,2,301,105.66360764717
"219","zString",2,3,234,77.7654858881255
"220","zString",2,4,223,71.5679604031061
"221","zString",2,5,263,100.699060795951
"222","zString",2,6,188,56.1507274193605
"223","zString",2,7,241,78.5393558764835
"224","zString",2,8,234,76.8134704177632
"225","zString",2,9,221,75.0073769984002
"226","zString",2,10,197,49.5182162159376
