"","task","cond","item","accuracy_M","accuracy_SD"
"351","zString",2,153,1,0
"352","zString",2,154,1,0
"353","zString",2,155,1,0
"354","zString",2,156,0.889,0.333333333333333
"355","zString",2,157,0.889,0.333333333333333
"356","zString",2,158,1,0
"357","zString",2,159,1,0
"358","zString",2,160,0.778,0.440958551844098
"359","zString",2,161,1,0
"360","zString",2,162,1,0
"361","zString",3,1,1,0
"362","zString",3,2,1,0
"363","zString",3,3,1,0
"364","zString",3,4,1,0
"365","zString",3,5,1,0
"366","zString",3,6,0.889,0.333333333333333
"367","zString",3,7,1,0
"368","zString",3,8,1,0
"369","zString",3,9,1,0
"370","zString",3,10,1,0
"371","zString",3,11,0.889,0.333333333333333
"372","zString",3,12,1,0
"373","zString",3,31,1,0
"374","zString",3,32,0.889,0.333333333333333
"375","zString",3,33,1,0
"376","zString",3,34,0.889,0.333333333333333
"377","zString",3,35,0.889,0.333333333333333
"378","zString",3,36,1,0
"379","zString",3,37,0.889,0.333333333333333
"380","zString",3,38,0.889,0.333333333333333
"381","zString",3,39,0.889,0.333333333333333
"382","zString",3,40,0.778,0.440958551844098
"383","zString",3,41,1,0
"384","zString",3,42,0.889,0.333333333333333
"385","zString",3,61,1,0
"386","zString",3,62,0.889,0.333333333333333
"387","zString",3,63,1,0
"388","zString",3,64,1,0
"389","zString",3,65,1,0
"390","zString",3,66,1,0
"391","zString",3,67,1,0
"392","zString",3,68,0.889,0.333333333333333
"393","zString",3,69,1,0
"394","zString",3,70,0.889,0.333333333333333
"395","zString",3,71,1,0
"396","zString",3,72,1,0
"397","zString",3,91,0.889,0.333333333333333
"398","zString",3,92,0.889,0.333333333333333
"399","zString",3,93,1,0
"400","zString",3,94,1,0
"401","zString",3,95,0.778,0.440958551844098
"402","zString",3,96,0.889,0.333333333333333
"403","zString",3,97,1,0
"404","zString",3,98,1,0
"405","zString",3,99,0.889,0.333333333333333
"406","zString",3,100,0.889,0.333333333333333
"407","zString",3,101,1,0
"408","zString",3,102,1,0
"409","zString",3,121,1,0
"410","zString",3,122,1,0
"411","zString",3,123,1,0
"412","zString",3,124,1,0
"413","zString",3,125,1,0
"414","zString",3,126,1,0
"415","zString",3,127,1,0
"416","zString",3,128,1,0
"417","zString",3,129,0.889,0.333333333333333
"418","zString",3,130,1,0
"419","zString",3,131,1,0
"420","zString",3,132,1,0
"421","zString",3,151,1,0
"422","zString",3,152,0.889,0.333333333333333
"423","zString",3,153,1,0
"424","zString",3,154,1,0
"425","zString",3,155,1,0
"426","zString",3,156,1,0
"427","zString",3,157,1,0
"428","zString",3,158,1,0
"429","zString",3,159,1,0
"430","zString",3,160,0.889,0.333333333333333
"431","zString",3,161,1,0
"432","zString",3,162,1,0
