"","task","cond","sub","sacc_len_M","sacc_len_SD"
"127","reading",3,19,7.29,4.46493603166809
"128","reading",3,20,11,9.43045252365283
"129","reading",3,21,10.8,4.80665659796066
"130","reading",3,22,11.9,13.6633414038408
"131","reading",3,23,9.74,8.00033289615199
"132","reading",3,24,12.8,8.29771495628297
"133","reading",3,25,7.68,8.03731978230932
"134","reading",3,26,8.33,9.64681686552644
"135","reading",3,27,11,10.3673660877376
"136","reading",3,28,12,14.012233793014
"137","reading",3,29,14.4,13.3203223153203
"138","reading",3,30,8.14,6.43330044558348
"139","reading",3,31,8.02,6.61903514784099
"140","reading",3,32,11.3,10.4828577012581
"141","reading",3,33,10.9,5.0193420576359
"142","reading",3,34,8.13,3.66052214539926
"143","reading",3,35,8.5,6.6049828237333
"144","reading",3,36,10.1,12.133849356891
"145","reading",3,37,8.92,9.27917154831115
"146","reading",3,38,9.46,6.40857043865615
"147","reading",3,39,11.5,12.1341349786557
"148","reading",3,40,8.06,5.79962381374152
"149","reading",3,41,7.23,7.21330952144418
"150","reading",3,42,10.2,11.8423091289055
"151","reading",3,43,7.38,6.96841813120269
"152","reading",3,44,7.63,4.83547957527067
"153","reading",3,45,9.42,6.83388266567104
"154","reading",3,46,11.6,9.90265697180757
"155","reading",3,47,12.8,9.0296781036847
"156","reading",3,48,11.5,5.85624848559708
"157","reading",3,49,10,8.46133267152052
"158","reading",3,50,8.07,5.19638802098447
"159","reading",3,51,10.1,7.13157592638935
"160","reading",3,52,8.28,5.11521758706254
"161","reading",3,53,9.53,7.8461666908669
"162","reading",3,54,8.13,4.11228406518326
"163","zString",1,1,12.7,9.8558113654023
"164","zString",1,2,7.84,9.62029063310743
"165","zString",1,3,10.6,6.7121645217263
"166","zString",1,4,11,10.0914094670723
"167","zString",1,5,5.38,3.06887768927632
"168","zString",1,6,7.55,4.42220924568829
"169","zString",1,7,11.4,7.30176787088775
"170","zString",1,8,8.79,5.8532711452447
"171","zString",1,9,10.7,7.72584476931288
"172","zString",1,10,8.71,6.20974909819806
"173","zString",1,11,8.19,4.83487482882335
"174","zString",1,12,8.21,6.43284818775711
"175","zString",1,13,7.97,4.82488975251028
"176","zString",1,14,8.37,7.7985608083862
"177","zString",1,15,8.52,7.93765342634646
"178","zString",1,16,11.4,6.20493411564567
"179","zString",1,17,7.73,7.20868373117962
"180","zString",1,18,6.92,5.67314749855862
"181","zString",1,19,8.5,6.62290578449329
"182","zString",1,20,17.5,13.365356820407
"183","zString",1,21,12.2,6.92710629247896
"184","zString",1,22,9.77,11.0966239947787
"185","zString",1,23,12,9.65732117322107
"186","zString",1,24,12.1,6.84425335258202
"187","zString",1,25,12.8,12.1780022846725
"188","zString",1,26,8.58,7.79669954773356
"189","zString",1,27,9.94,10.5571132220036
"190","zString",1,28,10.3,6.68887769378366
"191","zString",1,29,8.19,7.91082052702439
"192","zString",1,30,11.1,7.83049906929125
"193","zString",1,31,7.06,5.53438789643526
"194","zString",1,32,9.71,7.89296113973213
"195","zString",1,33,10.3,5.29889015946501
"196","zString",1,34,7.74,4.00076330992923
"197","zString",1,35,11.4,12.2356120484796
"198","zString",1,36,7.08,7.52226412328572
"199","zString",1,37,10.7,8.01979727947012
"200","zString",1,38,9.81,8.93169676976013
"201","zString",1,39,8.26,6.29105071568343
"202","zString",1,40,8.88,5.93880196255752
"203","zString",1,41,7.72,4.65370573682099
"204","zString",1,42,9.32,9.03007335868053
"205","zString",1,43,8.19,7.63751311271915
"206","zString",1,44,14.3,10.3963897485974
"207","zString",1,45,9.5,8.26909313817806
"208","zString",1,46,15.3,13.7996647278228
"209","zString",1,47,9.8,6.86368604109894
"210","zString",1,48,8.17,5.87173051008008
"211","zString",1,49,12.6,10.4545071739816
"212","zString",1,50,7.03,8.47422134399747
"213","zString",1,51,10.2,9.4434872193739
"214","zString",1,52,9.4,7.08418824137358
"215","zString",1,53,11.7,6.18409135953545
"216","zString",1,54,12,9.0954651942502
"217","zString",2,1,11.1,7.64673393121172
"218","zString",2,2,7.71,7.26294624818966
"219","zString",2,3,11.7,7.94851778328067
"220","zString",2,4,11.7,9.85545548703459
"221","zString",2,5,6.48,3.87548108114322
"222","zString",2,6,9.52,6.61868912279071
"223","zString",2,7,12.2,7.29976149105143
"224","zString",2,8,7.85,4.1372293079031
"225","zString",2,9,12.3,9.47114611459687
"226","zString",2,10,9.06,6.27933681116944
"227","zString",2,11,8.23,5.19151886844806
"228","zString",2,12,9.85,9.45286019783165
"229","zString",2,13,8.92,5.12126863459685
"230","zString",2,14,10.4,9.68655592439893
"231","zString",2,15,7.64,8.47800769953227
"232","zString",2,16,10.5,6.95717874562878
"233","zString",2,17,7.56,6.66450948543282
"234","zString",2,18,7.58,4.4570026850244
"235","zString",2,19,9.48,8.44295283991647
"236","zString",2,20,16.3,12.1304406017089
"237","zString",2,21,16.3,10.7809009428979
"238","zString",2,22,9.16,9.38818232186753
"239","zString",2,23,12.4,9.82552787169204
"240","zString",2,24,14.6,12.0596663062982
"241","zString",2,25,12.6,11.9810670852732
"242","zString",2,26,8.31,8.25745983189129
"243","zString",2,27,9.12,9.48722785580976
"244","zString",2,28,12.4,11.115295626389
"245","zString",2,29,9.74,8.25873936043206
"246","zString",2,30,11.9,8.23889724529674
"247","zString",2,31,7.21,5.29915105302184
"248","zString",2,32,11,9.50237002015051
"249","zString",2,33,11.5,6.74849748932013
"250","zString",2,34,6.95,3.7613171312294
"251","zString",2,35,9.41,8.11527822961754
"252","zString",2,36,7.79,8.40781443423043
"253","zString",2,37,10.4,7.59229775048986
"254","zString",2,38,9.46,7.94054045206125
"255","zString",2,39,8.7,7.43202011018303
"256","zString",2,40,8.24,6.41648673809702
"257","zString",2,41,7.16,3.44858231581454
"258","zString",2,42,9.98,9.76399128736955
"259","zString",2,43,8.26,6.35991865145468
"260","zString",2,44,12.3,9.20940793043535
"261","zString",2,45,9.57,7.11277629314574
"262","zString",2,46,17.2,15.0472624879855
"263","zString",2,47,8.82,5.66928244394065
"264","zString",2,48,9.75,10.7658896018163
"265","zString",2,49,13.7,10.2339197524001
"266","zString",2,50,7.11,8.53899525389369
"267","zString",2,51,10.6,7.40574685303945
"268","zString",2,52,9.94,7.43801315224946
"269","zString",2,53,12.5,8.70997978168958
"270","zString",2,54,12.3,9.83428085166806
"271","zString",3,1,10.8,8.02930593297749
"272","zString",3,2,8.45,9.16209051915054
"273","zString",3,3,11.3,7.95249763233027
"274","zString",3,4,11.9,10.5816380207988
"275","zString",3,5,6.4,3.41415395442001
"276","zString",3,6,9.83,6.6653402620516
"277","zString",3,7,12.5,9.61246182609523
"278","zString",3,8,7.94,4.17555686200786
"279","zString",3,9,12.1,9.62941033907377
"280","zString",3,10,10,6.43697772827027
"281","zString",3,11,9,6.73387713961638
"282","zString",3,12,9.69,7.99448799306863
"283","zString",3,13,8.47,4.64754920667529
"284","zString",3,14,11.8,10.9721511732545
"285","zString",3,15,6.57,6.55784265110827
"286","zString",3,16,10.8,7.15479712536613
"287","zString",3,17,7.86,7.38357632887007
"288","zString",3,18,7.17,3.94853701227178
"289","zString",3,19,9.42,8.19995012573539
"290","zString",3,20,16.5,12.1761125935934
"291","zString",3,21,16.5,11.4803664133379
"292","zString",3,22,8.51,6.42965157932168
"293","zString",3,23,14.2,12.177462023557
"294","zString",3,24,14.2,11.7207726051962
"295","zString",3,25,12.1,11.6218160078587
"296","zString",3,26,7.3,7.94024901331032
"297","zString",3,27,8.71,9.03064025970113
"298","zString",3,28,12.1,10.4623532585887
"299","zString",3,29,10,8.3205934469672
"300","zString",3,30,11.2,7.00687320061263
"301","zString",3,31,7.45,6.80380690970583
"302","zString",3,32,10.8,9.16166110021205
"303","zString",3,33,11.1,6.20070281901093
"304","zString",3,34,7.6,4.97132242010545
"305","zString",3,35,9.71,7.80937165390454
"306","zString",3,36,8.03,10.8360696365516
"307","zString",3,37,10.2,7.04249503249068
"308","zString",3,38,9.39,9.30023724306239
"309","zString",3,39,8.39,7.65859224723243
"310","zString",3,40,7.93,5.56676424348463
"311","zString",3,41,7.8,4.48502985365744
"312","zString",3,42,10.3,10.6071599797951
"313","zString",3,43,8.71,7.78573514648699
"314","zString",3,44,12.5,9.29725636932223
"315","zString",3,45,9.39,8.01858752153639
"316","zString",3,46,16.3,16.1147944114422
"317","zString",3,47,10.1,7.14624289929812
"318","zString",3,48,9.9,9.61982636887089
"319","zString",3,49,12.8,8.78441663275955
"320","zString",3,50,7.25,8.20402300552361
"321","zString",3,51,10.2,7.98926877047907
"322","zString",3,52,11.5,9.6907169012408
"323","zString",3,53,13.4,8.73312986131896
"324","zString",3,54,11.9,8.72312509826293
