"","task","cond","sub","Nfix_1st_M","Nfix_1st_SD","Nfix_2nd_M","Nfix_2nd_SD","Nfix_all_M","Nfix_all_SD"
"1","reading",1,1,7.8,1.68972554392514,2.93,1.76035524105581,10.7,2.36254295101746
"2","reading",1,2,9.13,1.52526613468247,4.17,2.58754754523479,13.3,3.07548706543454
"3","reading",1,3,11,2.38505885611371,1.03,1.40155906621589,12.1,2.93531803285828
"4","reading",1,4,5.1,1.3480509557544,0.8,1.39950730246583,5.9,1.91815284709733
"5","reading",1,5,10.9,2.82761424152068,5.77,3.32890510459555,16.7,4.43458196918033
"6","reading",1,6,9.17,1.82101399061704,2.07,2.61208508776937,11.2,3.37008475625878
"7","reading",1,7,6.87,2.16131079852392,1.2,1.8643663987976,8.07,2.97035157948468
"8","reading",1,8,11.1,2.49044149711948,4.63,2.23581094341911,15.7,3.39522991959257
"9","reading",1,9,8.97,1.54212869746342,3.33,3.07754193599634,12.3,3.90534558495545
"10","reading",1,10,9.5,2.4600252311574,2.8,3.14478221382877,12.3,3.67798670564435
"11","reading",1,11,10.7,1.9286109586656,3.07,2.67727773903905,13.8,2.73420227286964
"12","reading",1,12,8.43,1.35655073073493,0.967,1.21721370161624,9.4,1.6103115997458
"13","reading",1,13,9.07,1.99885024422806,1.53,1.69651434404199,10.6,2.41546739961869
"14","reading",1,14,7.9,1.60494924186577,3.73,2.9819379643092,11.6,3.17841137214406
"15","reading",1,15,10.1,1.96053007141424,3.47,3.22419017721514,13.6,4.03091501548581
"16","reading",1,16,11.4,1.59056123977396,0.867,1.38298361456704,12.3,1.76459431696021
"17","reading",1,17,8.5,1.63475190567359,10.6,6.19009219473429,19.1,6.7228380706468
"18","reading",1,18,10.5,2.48767074733101,2.33,3.4072269373053,12.9,4.68845488358396
"19","reading",1,19,11.6,2.05918184846736,1.77,1.83234037896015,13.4,2.54070313373938
"20","reading",1,20,11.6,2.6193357059052,7.87,7.96861660357133,19.5,8.41898511370745
"21","reading",1,21,6.6,1.65258418325924,0.8,1.15668968806796,7.4,2.34300131720274
"22","reading",1,22,8.87,1.65536397358933,4.53,4.00631685125424,13.4,4.54555485782729
"23","reading",1,23,8.93,2.04995093857749,5.7,4.34820613031675,14.6,4.90940921604369
"24","reading",1,24,6.9,1.72906193423307,1.57,1.83234037896015,8.47,2.94470106595153
