"","task","cond","sub","N1_M","N1_SD"
"161","reading",3,53,282,65.4897632528099
"162","reading",3,54,299,100.717426496113
"163","zString",1,1,236,71.5091967329469
"164","zString",1,2,293,82.0968741130284
"165","zString",1,3,251,66.6382049752155
"166","zString",1,4,211,52.1311364216759
"167","zString",1,5,296,110.298730727058
"168","zString",1,6,180,44.9380707132627
"169","zString",1,7,247,47.0064098193275
"170","zString",1,8,264,129.440730055893
"171","zString",1,9,233,102.196974213827
"172","zString",1,10,216,37.211474582173
"173","zString",1,11,212,46.2425017220872
"174","zString",1,12,220,41.0951676950195
"175","zString",1,13,235,62.7996406979759
"176","zString",1,14,277,112.125877558665
"177","zString",1,15,221,58.916087897156
"178","zString",1,16,201,34.1201087070633
"179","zString",1,17,238,54.9413829053798
"180","zString",1,18,226,74.8637839936384
"181","zString",1,19,158,33.5209797687371
"182","zString",1,20,192,59.5326314765803
"183","zString",1,21,215,49.7718126386144
"184","zString",1,22,249,75.7123482913749
"185","zString",1,23,281,81.1726839237475
"186","zString",1,24,258,52.7990475102479
"187","zString",1,25,202,47.5804399769303
"188","zString",1,26,294,122.198156666758
"189","zString",1,27,224,63.0003306869628
"190","zString",1,28,296,61.2719406600665
"191","zString",1,29,234,72.4944321154876
"192","zString",1,30,195,40.9493404690294
"193","zString",1,31,228,69.5789240119928
"194","zString",1,32,231,57.4387455135121
"195","zString",1,33,260,69.5546391413754
"196","zString",1,34,203,36.3713045527899
"197","zString",1,35,183,48.3236656998066
"198","zString",1,36,274,68.1743597940849
"199","zString",1,37,256,78.0832790137457
"200","zString",1,38,231,52.6257924023385
"201","zString",1,39,218,79.4046266715114
"202","zString",1,40,230,52.4050056329032
"203","zString",1,41,204,58.7581458559875
"204","zString",1,42,230,75.7348004552729
"205","zString",1,43,227,74.7748175078571
"206","zString",1,44,222,49.9546896146173
"207","zString",1,45,217,99.2391158586276
"208","zString",1,46,272,59.9694519304217
"209","zString",1,47,230,52.1368391830575
"210","zString",1,48,237,56.8549661813916
"211","zString",1,49,226,53.4032377024226
"212","zString",1,50,180,34.8821377321335
"213","zString",1,51,256,112.246808482436
"214","zString",1,52,194,63.1440413695094
"215","zString",1,53,242,36.3420396010534
"216","zString",1,54,213,47.0759711405249
"217","zString",2,1,230,46.3340110470715
"218","zString",2,2,314,94.5149046112617
