"","task","cond","sub","FFD_M","FFD_SD","freq_M","freq_SD","zipf_M","zipf_SD"
"1","reading",1,1,237,105.687116843382,143000,189070.194904168,5.15,1.01845798473313
"2","reading",1,2,248,143.346782314777,108000,75224.8960262935,5.59,0.431138028942009
"3","reading",1,3,238,73.2657264119224,81700,175584.897862829,4.72,1.10912127380192
"4","reading",1,4,226,74.5174955487444,69400,88820.4830876784,4.73,1.18015056545462
"5","reading",1,5,263,95.8901280980825,31800,25631.2911155486,4.85,0.888570950084085
"6","reading",1,6,245,88.9167838174798,17300,22611.7404792289,4.54,0.67728830230888
"7","reading",1,7,202,72.8736675937984,39600,59384.2356434128,4.7,0.808867521085293
"8","reading",1,8,236,53.08394071567,77300,160467.143196268,4.95,0.763597375834249
"9","reading",1,9,201,45.1109742745598,11400,5304.64700626829,4.67,0.332678523502795
"10","reading",1,10,277,78.7418930067452,59900,64591.3409326373,5.24,0.515521003220921
"11","reading",1,11,264,71.8132498717532,10200,11895.2913993811,4.42,0.528578507031111
"12","reading",1,12,213,83.4112017143295,24500,19574.2874815589,4.67,0.935863810299646
"13","reading",1,13,192,69.7910145669607,145000,260848.890529555,4.73,1.14540074085137
"14","reading",1,14,257,121.685973680109,7920,6148.78228362564,4.41,0.480882125939007
"15","reading",1,15,275,124.788678515778,89300,150074.909871644,4.98,0.779615289742319
"16","reading",1,16,226,53.3559475865357,14200,14375.8722344072,4.5,0.700284381009397
"17","reading",1,17,232,82.1531670548547,35800,55632.8676066842,4.47,0.992680354250191
"18","reading",1,18,282,74.5069507783382,10400,13599.8838703025,4.4,0.573510493116112
"19","reading",1,19,259,128.271753933369,783000,1436920.94874263,4.57,2.04043412747666
"20","reading",1,20,235,82.4921352672628,10600,9366.92783147175,4.54,0.452653551952526
"21","reading",1,21,285,157.349625871512,456000,1170651.06018729,4.43,1.66382948989029
"22","reading",1,22,240,94.2814934120159,46300,73624.8496106745,4.54,1.13676197058917
"23","reading",1,23,210,58.9143850167747,23700,37981.7974580306,4.79,0.457654475611917
"24","reading",1,24,193,39.2479298817148,106000,150200.847925259,5.08,0.890020599012555
"25","reading",1,25,236,45.435668807667,198000,151306.922282822,5.55,1.12679486450137
"26","reading",1,26,207,67.7713241788323,8260,6590.33339354658,4.39,0.560429257249256
"27","reading",1,27,263,94.1381014406874,165000,303830.645430618,4.42,1.29908690460426
"28","reading",1,28,242,87.3083615697832,25500,13402.4515242963,4.97,0.460217339960154
"29","reading",1,29,250,87.520337772483,8290,9253.27570570089,4.3,0.617945906093036
"30","reading",1,30,228,57.0286582092097,143000,188691.100992327,4.98,1.18081993304894
"31","reading",1,31,244,48.8159809898357,10300,3399.00784543568,4.69,0.160934769394311
"32","reading",1,32,240,86.6464720061418,42800,42223.3196471781,5.04,0.644903093495449
"33","reading",1,33,202,62.1567909939587,68200,58022.9777361234,5.37,0.430507452510019
"34","reading",1,34,231,103.781593009642,4850,3148.42948755332,4.32,0.242683411248561
"35","reading",1,35,216,44.5661626925951,27300,18826.4781244775,4.89,0.634991563498513
"36","reading",1,36,187,64.5094308350854,25200,8778.00041011619,5.06,0.214895323355349
"37","reading",1,37,231,52.1488254901297,9910,11720.4994134209,4.3,0.666820815511933
"38","reading",1,38,244,72.4553502356988,81900,86675.6880892791,5.12,0.874734880470141
"39","reading",1,39,244,38.4788129705043,7250,4891.03733763046,4.43,0.43115570052504
"40","reading",1,40,221,49.4870353392347,13300,13540.7033643013,4.57,0.554343455509909
"41","reading",1,41,245,95.1942458578482,19500,8048.9596066821,4.94,0.217760061637676
"42","reading",1,42,212,56.5358293474147,4540,4603.47319966132,4.13,0.504595547608842
"43","reading",1,43,239,94.3920900640868,6830,3253.76157700591,4.4,0.476014705655193
"44","reading",1,44,206,60.7829863413392,125000,203462.002029161,5.05,0.919203848058587
"45","reading",1,45,213,112.214972263063,32900,43320.4032737462,4.97,0.474267856806679
"46","reading",1,46,220,77.9496174278159,15600,7440.41799581051,4.79,0.411252442459095
"47","reading",1,47,223,53.446735835115,36200,63477.1242237256,4.38,0.940011398107187
"48","reading",1,48,208,68.3090403973003,38600,66449.5443706834,4.54,0.831006274688362
"49","reading",1,49,234,71.3426006441219,43100,65322.9722606578,5.04,0.487469657175364
"50","reading",1,50,213,73.9636332775713,141000,88501.7128542881,5.79,0.222667807239736
"51","reading",1,51,249,101.819167434933,5020,4629.88386154864,4.17,0.520919516679057
"52","reading",1,52,217,55.4319402510863,82500,163763.045844598,4.88,0.867842151546005
"53","reading",1,53,184,61.3401911279957,158000,164235.657295068,5.44,0.850210058078086
"54","reading",1,54,218,34.0285827569184,132000,179687.354607555,5,1.17152678159742
"55","reading",1,55,211,85.258821635457,20200,24631.2303360321,4.46,0.884663777940524
"56","reading",1,56,220,55.4269145555014,140000,205651.090851077,5.22,0.882188836280047
